identity_line_item_id,identity_time_interval,bill_bill_type,bill_billing_entity,bill_billing_period_end_date,bill_billing_period_start_date,bill_invoice_id,bill_invoicing_entity,bill_payer_account_id,bill_payer_account_name,line_item_availability_zone,line_item_blended_cost,line_item_blended_rate,line_item_currency_code,line_item_line_item_description,line_item_line_item_type,line_item_net_unblended_cost,line_item_net_unblended_rate,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_account_id,line_item_usage_account_name,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,line_item_usage_type,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_term,pricing_unit,product_product_name,product_region,product_instance_type,product_instance_type_family,product_operating_system,product_vcpu,product_memory,resource_tags
lid-00000677,2025-10-19T00:00:00Z/2025-10-20T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-central-1a,3.0769937690,0.2300000000,USD,$0.2300 per Hrs for ml.m5.xlarge in eu-central-1,Usage,2.9231440806,0.2185000000,CreateNotebookInstance,AmazonSageMaker,arn:aws:sagemaker:eu-central-1:555666777888:ml-m5-xlarge-7381,555666777888,Staging,13.3782337783,2025-10-20T00:00:00Z,2025-10-19T00:00:00Z,EUC1-Notebook:ml.m5.xlarge,3.5385428344,0.2645000000,OnDemand,Hrs,Amazon SageMaker,eu-central-1,ml.m5.xlarge,General purpose,,4,16 GiB,{}
lid-00000469,2025-10-14T00:00:00Z/2025-10-15T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-west-2c,1.1552419855,0.0416666667,USD,$0.0417 per Hrs for t3.medium in us-west-2,Usage,1.0974798862,0.0395833333,RunInstances,AmazonEC2,arn:aws:ec2:us-west-2:999000111222:t3-medium-3688,999000111222,Data Platform,27.7258076518,2025-10-15T00:00:00Z,2025-10-14T00:00:00Z,USW2-BoxUsage:t3.medium,1.3285282833,0.0479166667,OnDemand,Hrs,Amazon Elastic Compute Cloud,us-west-2,t3.medium,General purpose,Linux,2,4 GiB,"{""Environment"": ""production"", ""Team"": ""ml-ops"", ""CostCenter"": ""CC-3001"", ""Project"": ""recommendation-engine""}"
lid-00001196,2025-11-03T00:00:00Z/2025-11-04T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-west-1b,4.3857363541,0.1700000000,USD,$0.1700 per Hrs for c5.xlarge in eu-west-1,Usage,4.1664495364,0.1615000000,RunInstances,AmazonEC2,arn:aws:ec2:eu-west-1:999000111222:c5-xlarge-1718,999000111222,Data Platform,25.7984491419,2025-11-04T00:00:00Z,2025-11-03T00:00:00Z,EUW1-BoxUsage:c5.xlarge,5.0435968072,0.1955000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,eu-west-1,c5.xlarge,Compute optimized,Linux,4,8 GiB,"{""Environment"": ""production"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00002955,2025-12-22T00:00:00Z/2025-12-23T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-central-1a,1.7247307200,0.0625000000,USD,$0.0625 per Lambda-GB-Second for Function in eu-central-1,Usage,1.6384941840,0.0593750000,Invoke,AWSLambda,arn:aws:lambda:eu-central-1:999000111222:Function-3832,999000111222,Data Platform,27.5956915204,2025-12-23T00:00:00Z,2025-12-22T00:00:00Z,EUC1-Lambda-GB-Second:Function,1.9834403280,0.0718750000,OnDemand,Lambda-GB-Second,AWS Lambda,eu-central-1,Function,,,,1024 MB,{}
lid-00000332,2025-10-10T00:00:00Z/2025-10-11T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1a,2.9645495464,0.1260000000,USD,$0.1260 per Hrs for r5.large in us-east-1,Usage,2.8163220691,0.1197000000,RunInstances,AmazonEC2,arn:aws:ec2:us-east-1:111222333444:r5-large-1595,111222333444,Production,23.5281710030,2025-10-11T00:00:00Z,2025-10-10T00:00:00Z,USE1-BoxUsage:r5.large,3.4092319783,0.1449000000,OnDemand,Hrs,Amazon Elastic Compute Cloud,us-east-1,r5.large,Memory optimized,Linux,2,16 GiB,"{""Environment"": ""dev"", ""Team"": ""ml-ops""}"
lid-00003111,2025-12-26T00:00:00Z/2025-12-27T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1b,19.1213237407,0.6620833333,USD,$0.6621 per Hrs for ml.g4dn.xlarge in us-east-1,Usage,18.1652575537,0.6289791667,CreateNotebookInstance,AmazonSageMaker,arn:aws:sagemaker:us-east-1:555666777888:ml-g4dn-xlarge-2095,555666777888,Staging,28.8805393189,2025-12-27T00:00:00Z,2025-12-26T00:00:00Z,USE1-Notebook:ml.g4dn.xlarge,21.9895223018,0.7613958333,OnDemand,Hrs,Amazon SageMaker,us-east-1,ml.g4dn.xlarge,Accelerated computing,,4,16 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00000322,2025-10-09T00:00:00Z/2025-10-10T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-west-1c,15.6053532700,0.6620833333,USD,$0.6621 per Hrs for ml.g4dn.xlarge in eu-west-1,Usage,14.8250856065,0.6289791667,CreateNotebookInstance,AmazonSageMaker,arn:aws:sagemaker:eu-west-1:555666777888:ml-g4dn-xlarge-9011,555666777888,Staging,23.5700741648,2025-10-10T00:00:00Z,2025-10-09T00:00:00Z,EUW1-Notebook:ml.g4dn.xlarge,17.9461562605,0.7613958333,OnDemand,Hrs,Amazon SageMaker,eu-west-1,ml.g4dn.xlarge,Accelerated computing,,4,16 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00000947,2025-10-27T00:00:00Z/2025-10-28T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,eu-west-1a,1.8306035906,0.0832083333,USD,$0.0832 per Hrs for t3.large in eu-west-1,Usage,1.7390734110,0.0790479167,RunInstances,AmazonEC2,arn:aws:ec2:eu-west-1:999000111222:t3-large-3841,999000111222,Data Platform,22.0002434518,2025-10-28T00:00:00Z,2025-10-27T00:00:00Z,EUW1-BoxUsage:t3.large,2.1051941291,0.0956895833,OnDemand,Hrs,Amazon Elastic Compute Cloud,eu-west-1,t3.large,General purpose,Windows,2,8 GiB,"{""Environment"": ""dev"", ""Team"": ""ml-ops""}"
lid-00000675,2025-10-19T00:00:00Z/2025-10-20T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1a,2.7876268645,0.1600000000,USD,$0.1600 per Hrs for cache.m5.large in us-east-1,Usage,2.6482455213,0.1520000000,CreateCacheCluster,AmazonElastiCache,arn:aws:elasticache:us-east-1:999000111222:cache-m5-large-2433,999000111222,Data Platform,17.4226679033,2025-10-20T00:00:00Z,2025-10-19T00:00:00Z,USE1-NodeUsage:cache.m5.large,3.2057708942,0.1840000000,OnDemand,Hrs,Amazon ElastiCache,us-east-1,cache.m5.large,General purpose,,2,6.38 GiB,"{""Environment"": ""production"", ""Team"": ""ml-ops"", ""CostCenter"": ""CC-3001"", ""Project"": ""recommendation-engine""}"
lid-00000357,2025-10-10T00:00:00Z/2025-10-11T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,ap-southeast-1b,17.6753135364,0.6620833333,USD,$0.6621 per Hrs for ml.g4dn.xlarge in ap-southeast-1,Usage,16.7915478596,0.6289791667,CreateNotebookInstance,AmazonSageMaker,arn:aws:sagemaker:ap-southeast-1:111222333444:ml-g4dn-xlarge-8585,111222333444,Production,26.6965088027,2025-10-11T00:00:00Z,2025-10-10T00:00:00Z,APS1-Notebook:ml.g4dn.xlarge,20.3266105669,0.7613958333,OnDemand,Hrs,Amazon SageMaker,ap-southeast-1,ml.g4dn.xlarge,Accelerated computing,,4,16 GiB,"{""Environment"": ""staging"", ""Team"": ""platform-engineering"", ""CostCenter"": ""CC-1001"", ""Project"": ""core-api""}"
lid-00002949,2025-12-22T00:00:00Z/2025-12-23T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,,0.6540704902,0.0208333333,USD,$0.0208 per GB-Mo for Standard in us-west-2,Usage,0.6213669657,0.0197916667,PutObject,AmazonS3,arn:aws:s3:us-west-2:555666777888:Standard-8015,555666777888,Staging,31.3953835302,2025-12-23T00:00:00Z,2025-12-22T00:00:00Z,USW2-TimedStorage-ByteHrs:Standard,0.7521810637,0.0239583333,OnDemand,GB-Mo,Amazon Simple Storage Service,us-west-2,Standard,,,,,"{""Environment"": ""production"", ""Team"": ""ml-ops"", ""CostCenter"": ""CC-3001"", ""Project"": ""recommendation-engine""}"
lid-00000476,2025-10-14T00:00:00Z/2025-10-15T00:00:00Z,Anniversary,AWS,2025-12-30T00:00:00Z,2025-10-01T00:00:00Z,INV-202510-001,"Amazon Web Services, Inc.",111222333444,Acme Corp Master,us-east-1c,10.4976863928,0.4800000000,USD,$0.4800 per Hrs for db.r5.xlarge in us-east-1,Usage,9.9728020732,0.4560000000,CreateDBInstance,AmazonRDS,arn:aws:rds:us-east-1:111222333444:db-r5-xlarge-2163,111222333444,Production,21.8701799851,2025-10-15T00:00:00Z,2025-10-14T00:00:00Z,USE1-InstanceUsage:db.r5.xlarge,12.0723393518,0.5520000000,OnDemand,Hrs,Amazon Relational Database Service,us-east-1,db.r5.xlarge,Memory optimized,,4,32 GiB,{}
